Memory,Date,Event,Tag,Image
"On April 17 2024 morning, Zwan had replied to the previous message that she was not coming home for election tomorrow because the temple function is on next week. After Vita replying for that particular message Zwan didn’t replied her back and afternoon she had messaged me regarding when Zwan was going home and did he packed everything. But as Zwan had a doubt, Vita might come to home in the same bus, he didn’t reply for her text. He thought of giving her surprise instead of she giving surprise to him. So basically, Zwan do board from SRM University, but this day he straight away went to Kilambambakkam the main bus stand to board the bus because if Vita is coming she had to board bus from main bus stand. Continuing about April 17 2024 - Though Zwan had only a doubt that she might come, but when he was in the queue, while boarding the bus, he found Vita with mask standing in front of Zwan. Also, Zwan had mask on my face caz, he didn’t want Vita to recognise Zwan first. But at this time, we both were surprise to see each other. She was really planning to give Zwan surprise and take his video when he was to board the bus from SRM University, but this was total surprise for both of them. Though Zwan had a doubt Vita might come on the day. So Zwan had bought chocolate for Vita, a KitKat. They boarded bus at 5.20 p.m. As usual like their first meet Vita had a meeting toattend till 6.30 p.m. they both  started to talk like the first trip till their dinner. During dinner, Vita bought a milkshake from the hotel nearby, which was too bad for her to drink. She even threw it into dustbin even without drinking half of it. Continuing about April 17 2024 - After their dinner they both had started talking like the previous trip. Vita had brought lot of snacks like lays, biscuits, etcetera. But now, while eating, they so a small boy behind their seat. Vita and Zwan shared their snacks with the boy and his small brother. The boys name was Rithwik. Continuing about April 17 2024 - Zwan and Vita started to talk with him, his brother and his mother. They planned this surprise trip for both of them to talk a lot. But the three Rithwik, his small brother and his mother were an out of syllabus. The fun part was Rithwik himself came in between Vita and Zwan and started sleeping in between them in a small space. Moreover, Rithwik’s mother had a doubt whether Zwan and Vita were really friends. As of then they were just friends, just meeting for second time.  Also Rithwik's mother had suggested not to marry anyone in the life because of drama in her life, but a week later happened something funny.",4/17/2024,Vita's Surprise Travel,Zwan's Reverse surprise ,
"The travel  now crossed to next day April 18 2024, even in this travel, Zwan and Vita got scolding for making noise from the neighbour seat UNCLES around 12.30 a.m disturbing their sleep by talking loudly. The next day, April 18 morning, they reached Gudalur. On this day April 18 2024, Zwan and Vita took their first photo together along with Rithwik and also they both alone. Also, they posted story regarding the travel which was one of Zwan's favourite. And while leaving from Gudalur around 7.30 a.m  Rithwik had mentioned that he will miss Zwan and Vita. This was really heart touching because a small boy who just talk to them just in one travel saying this. On this day too, Zwan's father came to pick him from Gudalur Bus stand. Vita had dropped them in the way going home and got the phone number from Rithwik's mother as their home was near to Ayyankolli where Vita is travelling. Vita reached home by 10 o’clock a.m. For a third time, after sharing the WhatsApp number, Zwan and Vita had messaged in WhatsApp just for sharing the photos we had taken in the during the travel.",4/18/2024,Vita's Surprise Travel,Zwan's Reverse surprise ,
"On election day April 19 2024, Vita messaged Zwan only at night. He doubted whether she had voted until she sent a photo of her nail with vote ink as proof. Even Rithwik had joked earlier not to vote for BJP as his father supported Seeman. ",4/19/2024,Election,Election,
"On April 21 2024, Zwan returned to Chennai as he had to return back to home, Gudalur again for a friend's wedding.",4/21/2024,Zwan's After Election Return,Zwan's Return,
"On April 26 2024, while Zwan was returning back from Chennai for his friend’s marriage, Vita had told a news and shocked him that Rithwik’s mother had asked her, shall they come to her home bride see her for Rithik’s uncle. Here the shock and fun was not, they came to bride see her, but the person who(Rithwik's mother) said ” don’t marry” had come to see the person as a bride for her brother. ",4/26/2024,Rithwik's Uncle Bride Seeing Vita,Vita's First Bride Seeing,
"On April 28 2024, Zwan had mentioned that on his friends marriage day, he had met his first crush(she was already married), and they had talked about Zwan's marriage. Vita was interested in knowing more about what happened, and Zwan explained what all they talked to each other.",4/28/2024,Zwan's Crushes,Zwan's First Crush,
"On April 30 2024, Vita had left to Chennai, as from May 1 2024 she had to change to the new PG/Hostel, The Pink Elite at Porur. Also, Zwan was leaving to Hyderabad for a five day trip. They both had made their mind strong about meeting each other at Chennai in next month, May. May 01 2024, Zwan had left to Hyderabad for his trip.",4/30/2024,Vita's After Election Return,New Hostel,
"After Zwan reached Hyderabad and Vita returned to Chennai, he couldn’t use his mobile much during the daytime as he was out for sight seeing. So, he called her at night on May 02 2024, and they talked for more than one and a half hours. This was the first time they had talked in call after meeting each other and exchanging number. That too almost after 100 days of they met for first time. This marked the beginning of their phone calls, and Zwan believed this was their first long conversation over a call.During the call, Zwan tested Vita's Malayalam speaking skills. She responded by sending voice notes in Malayalam, which he truly appreciated.Vita also sent pictures of her new room and expressed how happy she was to be in the new space.",5/2/2024,Zwan's Hyderabad trip,First phone call,
" On May 3 2024, she went with her friend Gayu for a haircut and later sent Zwan a video of the new look and hair cut.",5/3/2024,Vita's Hair Cut,Hair cut Video,
"On May 6 2024, after her haircut, Vita posted a photo of herself, a mirror selfir. Zwan found it incredibly cute and told her, ""Red top with a cute haircut with yellow clips and a blue background — that's aww, like cloudy fantasy."" Between May 6 2024 and May 09 2024   were some very cute days for both of them. Zwan had told her, “Modhala naan kadala podurathu kammi pannanum, (I should reduce flirting)” to which Vita playfully replied, “Apdilaam chollapdaathu. (Don't saylike that!!)” They genuinely enjoyed flirting with each other. These conversations were always adorable and unforgettable. Sometimes, when Zwan flipped the teasing back at her, she wouldn’t know what to say. ""OLARURIYEE!!! (Why are you blabbering!!)"" was his way of capturing those speechless moments. Vita generally preferred working from home three to four days a week, and she often used that time to mildly irritate Zwan. But one particular day, she got frustrated and actually went to the office due to a power cut, AC cut, and Wi-Fi cut in her room. Zwan laughed and called it a ""KADAVUL IRUKKAAN KUMAARU!! (God does see everything)"" moment.",5/6/2024,Some Cute days,Insta Post,
"Zwan and Vita began planning to meet in Chennai during the upcoming weekend. On May 10 2024, they decided on Phoenix Mall to watch the English movie TAROT for next day May 11 2024, which was listed as a horror film on BookMyShow. They also playfully discussed doing something wild — like dancing right in the middle of the mall so that everyone could see them. It was one of those silly, adventurous ideas that matched their vibe perfectly. Zwan recalled something funny he hadn’t mentioned before — Vita sometimes made remarks or showed interest in other girls in a way that made him joke, “Are you sure you're straight? Or are you a lesbian? Haha!” It was one of those moments that added more laughter to their unpredictable, charming dynamic.",5/10/2024,Vita's Girl Addiction,Lesbian,
"After planning for nearly two to three months, Zwan and Vita were finally set to meet in Chennai on May 11 2024. That morning, Vita had overslept. Zwan had called her a few times, but she didn’t attend the calls. Eventually, between 10 and 11 AM, she woke up, got ready, and reached the mall by 1:30 PM — just in time before the movie began. They had already booked the tickets earlier that morning. The real twist was that Vita had work tchnical support duties that day. She came with her laptop bag, and during the movie, she occasionally checked her work emails on her phone since they had deposited the bag outside the cinema hall. The movie — TAROT — wasn’t particularly scary or entertaining, but for Zwan, watching it with Vita was what made it special. It was fun in its own unique way, and the memory stuck with him. They clicked a few good photos together during the outing. But, as always, Vita preferred photos taken in the mirror over regular selfies — those were her favorite kind. After the movie on May 11 2024, Zwan and Vita planned to go bowling. But the bowling alley was packed with people, so they decided to grab some snacks around 4 PM. Then came the one thing Zwan had secretly hoped to avoid: shopping. Vita spotted Trends and Pantaloons, and her eyes lit up with the idea of doing just a ""small"" round of shopping. Though Zwan hesitated at first, he eventually agreed to go along with her. While shopping, Vita was on a mission — she was looking for crop tops, but instead of adult sections, she dove straight into the kids' section to check out every single T-shirt there. She kept clicking photos of the outfits she tried in trial room and send to Zwan to check it was good for her. Zwan later always remembered, with a smile, that those photos she took were just like “these ones” — charming, spontaneous, and very much her. After their quirky shopping spree, they went for dinner at a restaurant opposite Samco. Vita absolutely loved the food — especially the masala prawn fry. She would often tell Zwan afterward that it was one of her favorites. Once dinner was done, Zwan dropped Vita off at Guindy, from where she boarded a Rapido. He took the local train and headed home. That night, after reaching their places, they had a long call that lasted for almost an hour — reliving the day and talking about every tiny detail that made it memorable. Zwan had reminded her that the Kitkat he had brought today for her is kept in her bag before they went to watch movie.",5/11/2024,First Chennai Meet,Tarot,
"On tMay 13 2024, Zwan and Vita had one of their deepest conversations yet — about love, relationships, and marriage. It all started when Zwan mentioned a book he had recently read for the first time: ""It Ends With Us"" by Colleen Hoover. From there, the discussion shifted naturally into their personal thoughts on relationships and how they envisioned their own. Vita shared that she truly wanted to love someone wholeheartedly, even though her past relationship hadn’t been a pleasant one. She and Zwan often exchanged Instagram reels, and many of the reels she sent were about boyfriend-girlfriend love or husband-wife bonds. She once told him, “After watching all these reels, I wish my husband or boyfriend would be like some of those people in them in which boyfriend remembers dates and surprises with that.” Zwan couldn’t help but laugh at how his entire Instagram algorithm had transformed into a romantic reel engine, all thanks to her. They didn’t shy away from more serious aspects either. Zwan brought up male ego as a common issue in relationships, to which Vita insightfully responded, “It’s not just male ego — both people shouldn’t carry ego into a relationship.” Vita spoke vulnerably about her longing to be loved, to express love, and to have someone to pour that love into. At the same time, Zwan admitted that he just wanted to love someone — even if it led to a breakup — because he wanted to experience giving and sharing love with someone. He softly concluded, “I think that eventually did happen, right?” He also shared a line from a Hindi movie, Sanam Teri kasam that stayed with him: “Don’t hesitate to say sorry, thank you, and I love you — because we may not get another chance to say these three.”",5/13/2024,Talks About Love,It Ends with Us,
"On May 17, Vita was leaving for home for the month to help with her sister’s college admission process. For the first time ever, Zwan decided to go to the bus stand to see her off, just to spend a little time with her before she left and send of her. His teammates had already started teasing him when he mentioned his plan to go all the way to the bus stop. But he didn’t mind — it was worth it. When Vita boarded the bus, she found that one of her school classmates was also traveling on the same bus. They began chatting and catching up immediately. Later, Zwan messaged her and joked, “It would've been even more fun if I had been on that bus with you. I could have flirted with that friend.” As usual Zwan had Kitkat for her.",5/17/2024,First Time Zwan Sending off Vita,Spending Time Together,
"Between May 18 2024 and May 28 2024, After Vita reached home, Zwan openly confessed to her that he had been using Instagram more often just because of her. He told her that now that she was home — and wouldn’t be as active on Instagram — he’d stay off the app too, at least for a few days. He even said, “If anything, just WhatsApp me.” But as with most things between them — plans changed. Contrary to what Zwan expected, Vita was still available most of the time, though her messages weren’t as frequent as when she was in Chennai. Still, her presence was comforting. One day, Vita sent Zwan a video of her holding a snake, and he almost had a heart attack thinking it was real. She casually mentioned that she was thinking of keeping a snake as a pet — and not just a snake — sometimes even talked about keeping wild animals like elephants. Zwan couldn’t help but scream internally, “AIYYYOOOO!” Fortunately, it turned out to be just a snake toy. As the days passed, they slowly resumed sharing romantic reels. Zwan joked that her Instagram feed must be a factory of love reels, because all he ever got in suggestions now were romantic videos — thanks to her. Zwan found himself sighting her for everything — her voice, her laugh, her smile, and even her messages. At one point, Zwan shared a reel featuring a “Love Guru”, and Vita responded by sharing the actual channel with him. Vita said she would see and listen to LOVE GURU videos when she was in college",5/18/2024,Vita's Time at home,Instagram,
"On May 29 2024, there was a special function at Vita’s home. That day, she wore the T-shirt they had bought together at Phoenix Mall, a piece of memory woven into her day. She sent a picture of herself wearing it to Zwan. For the first time ever, Zwan tried to draw her from that photo. It wasn’t perfect. But it was real. And on this day, she send then pic of she eating the KitKat I had given her while traveling home on May 17 2024. Meanwhile, Vita had taken her sister to Coimbatore, where she finished up all the college admission formalities. It was a busy time for her at home, but somehow they kept each other looped into their lives. Zwan had his own plans too — he was heading home for his nephew's birthday which was on June 6 2024, and intended to return on June 9 2024. Since Vita had already spent nearly three weeks at home, she initially planned to return to Chennai on the same day with him, and he quietly hoped they’d travel together. But plans shifted. Vita received an invitation to her friend’s wedding on June 12 2024, and so she told Zwan she might not return on June 9 2024 after all due to friend's marriage. Zwan being cool, replied that it was fine and he understood. But inside, he felt a little sad — because he’d been looking forward to traveling with her, sharing those quiet hours and loud laughs in a bus seat beside each other. Even if he didn't say it out loud — he was going to miss her.",5/29/2024,Vita's Time at home,Vita's sister's College Admission,
"On June 5 2024, Zwan boarded a bus to travel home for his nephew’s birthday celebration the next day. While he was on the way, Vita messaged him that she was planning to return back to Chennai on June 9 with Zwan. He playfully asked her, “What about your friend’s marriage?” To that, Vita casually replied that her parents would attend the wedding, and so she’d come back to Chennai with Zwan instead. Zwan didn’t say much in the moment. But deep down, he felt a rush of butterflies in his stomach — that electric blend of excitement, surprise, and emotion. Continuing June 5 2024 - But that wasn’t all. Because what followed next was something that changed everything. It was the beginning of the story of the White Angel — a playful, whimsical, yet deeply emotional conversation between Zwan and Vita. A story that wasn’t just a fun chat. It was a spark. Something that would turn many things in the weeks that followed. Continuing June 5 2024 - After Vita confirmed her June 9 return with Zwan, the conversation between them took a playful turn — one that spiraled into an emotionally charged yet humorous fantasy. Zwan teased her by saying that even if she was with him on the bus, he might still “sight other girls.” Vita, in mock rage, warned that if he dared, she would kill him. Laughing, Zwan replied, “Then in heaven, I’ll talk to girls and have fun unlimitedly!.” Vita shot back, “I won’t kill both of us at once. I’ll kill each of us separately.” o that, Zwan chuckled and said, “Fine — if I’m going, you come with me. I don’t want to go to heaven alone. Let’s travel together.” Continuing June 5 2024 - This kicked off the start of the “White Angel” fantasy — Vita imagining herself in heaven wearing white dresses, and Zwan still pretending to be a flirt, only for Vita to say, “I won’t allow it!” To which Zwan replied warmly, “NEER IRUKKURAPPO NAAN VERA YAARA PAAKA POREN.”(“When you’re here, why would I look at anyone else?”) They playfully planned their first mock fight for Sunday during the travel. Outside, it was raining, and both of them quietly wished they were already travelling together. The White Angel story continued for over two hours. They chatted until 1 A.M., with Zwan unable to sleep on the bus. Vita, knowing that, said sweetly, “NAA TEXT PANRATHE THAALAATU… voice note vera anuppi thaalaatu pannanuma?” (“Is my texting soothing enough, or should I send a voice note to help you sleep?”) She also said there would be no other angels in heaven — just her, the White Angel. Continuing June 5 2024 - Zwan then asked, “If possible, can I go for a long walk with this White Angel?” Vita agreed, and they imagined it vividly. They even said, “INTHA TALK ENGEYO VERA MAARI PORA MAARI THONUTHU” (“This conversation feels like it’s going somewhere deep...”) before finally falling asleep around 1:30 A.M. Zwan would later reflect: ""She really wanted me to spend time and flirt only with her — the White Angel. At this point, when I rethink, we really had that spark and feeling in this conversation…But we just couldn’t openly speak about it.""",6/5/2024,White Angel ,Fantasy,
"On June 6, after reaching home Zwan booked ticket for both of them for June 09 2024 to go from Gudalur to Chennai and only then he left for his nephew's birthdayfunction.",6/6/2024,Zwan's Nephew Birthday,Tickects Booked,
"On the previous day of our travel, June 8 2024 Vita was having a newly bought SAREE haul and she had sent a beautiful video for her in that Saree.",6/8/2024,Previous Day of June Travel,Vita's New Saree,
"On June 9 2024, Vita was running late to the Gudalur bus stand. Thank God, Zwan had already informed his father that she would be coming with him. The moment she arrived, without any hesitation, she walked straight to Zwan’s father and said warmly, “Hi uncle, how are you?!” Zwan smiled silently at the ease with which she blended into his world. At exactly 2:00 PM, the bus took off. Their travel started from Gudalur to Chennai. As they settled in, for the first time, Vita casually mentioned a friend named Sudhee, someone she had quickly met before boarding. She said she had gone to talk to him. Vita had downloaded the movie ‘My Fault’, which they began watching together from Ooty during the travel. Unexpectedly, a few bold scenes came up, and they had to close their screens to avoid being noticed by the people sitting nearby—AIYYOOO. While attempting to block the screen, their hands met to cover it, but what started as a casual gesture turned into something deeper—the handholding lasted longer than expected. Though Zwan had held Vita’s hand once before while crossing a road in Chennai, this time it felt different, like he didn’t want to let go. On Same June 9 2024 - While watching the movie in their travel to Chennai, the bus broke down in the middle of Mettupalayam. They paused the movie and began observing what was happening outside. Once they reached Mettupalayam, the bus made an unusual stop at a hotel. Everyone else started eating, but Zwan and Vita assumed the bus would stop later at Avinashi, where it usually halted for dinner. Instead, they walked about 100 meters away from the veg-only hotel and bought egg rice and chilly chicken from another shop. After dinner, the bus stopped at a workshop for repairs, and while they were waiting outside, a few local boys appeared and started talking to Vita. She casually said they were her juniors, and Zwan couldn't help but think, “Bayangaramaana Alaa Iva.” On June 9 2024 - Once the bus started from the workshop and resumed their travel, they resumed watching the movie until they neared Avinashi, their usual dinner spot. They completed the movie, but the bus didn’t stop at the location as expected. Thankfully, they had already bought rice and chicken earlier. Since it was around 10:30 p.m. and most passengers were asleep, they decided to open their dinner and start eating inside the bus. Zwan, seated by the window and holding the food, struggled to eat on his own. At that moment, Vita gently took over and began feeding him the entire dinner with her own hands. It was the first time since childhood that someone had fed Zwan an entire meal—friends may have done it once or twice, but not like this. This small yet profound act reflected the kind of caring, intimate bond they both longed for in a relationship.After finishing their dinner, they planned to sleep. But even as they drifted into rest, they never let go of each other’s hands. With their headsets in place, Vita rested her head on Zwan’s chest, while his other arm gently wrapped around her. It was exactly like what Zwan had once described — a perfect journey, shared with someone you feel deeply connected to. A simple bus ride had become a memory of warmth, closeness, and quiet love. In that quiet, tender moment—lying side by side on the bus, holding hands, sharing one pair of earphones, her head resting on Zwan’s chest and his arm wrapped around her—they both silently realized that they truly had feelings for each other. It was a warmth they couldn’t deny, but one they both knew wouldn’t turn into something more. From feeding each other dinner to falling asleep with their hands still entwined, they lived the kind of closeness that felt like love, even if it couldn’t last. That night became the point of realization: they couldn’t be together, but they could still create memories worth remembering—deep, soft, and unforgettable.",6/9/2024,My Fault,Vita Feeding Zwan,
